disc	track	artist	title	info
510	12	10 Years	Beautiful	CB51012
54	8	10,000 Maniacs	Candy Everybody Wants	DK05408
82	14	10cc	I'm Not in Love	DK08214
223	15	10cc	Things We Do for Love	SC22315
126	13	1910 Fruitgum Co.	Simon Says	DK12613
409	7	3 Doors Down	Away from the Sun	SC40907
164	4	3 Doors Down	Be Like That	TT16404
450	9	3 Doors Down	Behind Those Eyes	CB45009
511	7	3 Doors Down	Citizen Soldier	CB51107
164	14	3 Doors Down	Duck and Run	TT16414
556	1	3 Doors Down	Every Time You Go	CB55601
447	14	3 Doors Down	Here By Me	CB44714
407	9	3 Doors Down	Here Without You	SC40709
507	2	3 Doors Down	It's Not My Time	CB50702
131	1	3 Doors Down	Kryptonite	SP13101
520	13	3 Doors Down	Let Me Be Myself	CB52013
449	6	3 Doors Down	Let Me Go	CB44906
460	1	3 Doors Down	Live for Today	CB46001
554	16	3 Doors Down	When You're Young	CB55416
451	8	3 Doors Down & Bob Seger	Landing in London	CB45108
354	19	38 Special	Hold on Loosely	SG35419
94	12	4 Non-Blondes	What's Up	DK09412
132	17	4 Non-Blondes	What's Up	SP13217
34	2	4 P.M.	Sukiyaki	DK03402
280	14	4 Runner	Heart with a 4-Wheel Drive	MM28014
589	1	5 Seconds of Summer	Amnesia	ZK58901
589	2	5 Seconds of Summer	Don't Stop	ZK58902
595	1	5 Seconds of Summer	Good Girls	ZK59501
601	1	5 Seconds of Summer	Jet Black Heart	ZK60101
589	3	5 Seconds of Summer	She Looks So Perfect	ZK58903
368	8	50 Cent	In Da Club (Clean)	TT36808
62	1	51 Express	Do It 'Til You're Satisfied	DK06201
4	2	5th Dimension	Aquarius & Let the Sunshine In	DK00402
246	20	5th Dimension	One Less Bell to Answer	HS24620
75	2	5th Dimension	Stoned Soul Picnic	DK07502
468	5	5th Dimension	Stoned Soul Picnic	CB46805
75	1	5th Dimension	Up, Up and Away	DK07501
75	3	5th Dimension	Wedding Bell Blues	DK07503
348	4	98 Degrees	Because of You	PR34804
355	9	98 Degrees	I Do (Cherish You)	SG35509
254	18	98 Degrees	The Hardest Thing	HS25418
589	4	A Great Big World & Christina Aguilera	Say Something	ZK58904
64	5	A Taste of Honey	Boogie Oogie Oogie	DK06405
88	11	A-HA	Take on Me	DK08811
356	13	A3 (Sopranos)	Woke Up This Morning	SG35613
343	4	Aaliyah	At Your Best (You Are Love)	NT34304
523	17	Aaliyah	I Don't Wanna	CB52317
224	7	Aaliyah	Journey to the Past	SC22407
145	17	Aaliyah	Try Again	SP14517
560	8	Aaron Lewis	Country Boy	CB56008
94	15	Aaron Neville	Don't Take Away My Heaven	DK09415
32	14	Aaron Neville	Tell It Like It Is	DK03214
466	3	Aaron Neville	Tell It Like It Is	CB46603
171	20	Aaron Tippin	Kiss This	TT17120
270	15	Aaron Tippin	Kiss This	PS27015
302	8	Aaron Tippin	My Blue Angel	CB30208
290	11	Aaron Tippin	People Like Us	MM29011
320	1	Aaron Tippin	That's as Close as I'll Get to Loving You	CB32001
341	4	Aaron Tippin	Whole Lotta Love on the Line	NT34104
404	13	Aaron Tippin	Workin' Man's Ph.D.	SC40413
202	1	Aaron Tippin	You've Got to Stand for Something	SC20201
79	5	Abba	Dancing Queen	DK07905
387	1	Abba	Dancing Queen	CB38701
83	9	Abba	Waterloo	DK08309
391	6	ABC	Be Near Me	NT39106
391	12	ABC	When Smokey Sings	NT39112
354	3	AC/DC	Back in Black	SG35403
227	11	AC/DC	Big Balls	SC22711
196	8	AC/DC	Dirty Deeds Done Dirt Cheap	SC19608
392	1	AC/DC	For Those About to Rock (We Salute You)	SC39201
392	6	AC/DC	Girls Got Rhythm	SC39206
196	3	AC/DC	Hard as a Rock	SC19603
196	7	AC/DC	Have a Drink on Me	SC19607
373	1	AC/DC	Have a Drink on Me	SC37301
196	5	AC/DC	Hells Bells	SC19605
289	10	AC/DC	Highway to Hell	MM28910
196	4	AC/DC	Moneytalks	SC19604
392	7	AC/DC	Rock N Roll Ain't Noise Pollution	SC39207
392	4	AC/DC	Sin City	SC39204
392	5	AC/DC	Sink the Pink	SC39205
196	6	AC/DC	Stiff Upper Lip	SC19606
